Name,Discounted Price,Actual Price,Saving(%),Rating,Reviews,Brand,Core,SSD,Model
Dell Vostro 15 3530 Laptop Core™ i7-1355U (16GB-512GB),172999.0,240000.0,28,0,0,Dell,Core i7,512GB,Vostro 15 3530 Laptop Core™ i7-1355U
Lenovo ThinkBook16 Ultra 5 225U (16GB-512GB SSD),212999.0,230000.0,7,0,0,Lenovo,Ultra 5,512GB,ThinkBook16 Ultra 5 225U
Lenovo Ideapad 5 13th Gen Core I7 DOS,198999.0,250000.0,20,0,0,Lenovo,Core i7,512GB,Ideapad 5 13th Gen Core I7 DOS
Lenovo Thinkbook 15G2 11th Gen Core I7 D0S,181999.0,200000.0,9,0,0,Lenovo,Core i7,512GB,Thinkbook 15G2 11th Gen Core I7 D0S
HP Probook 450 G9 12th Gen Core i7 DOS,186999.0,250000.0,25,0,0,Hp,Core i7,512GB,Probook 450 G9 12th Gen Core i7 DOS
HP Probook 440 G10 13th Gen Core i7 DOS,221999.0,280000.0,21,0,0,Hp,Core i7,512GB,Probook 440 G10 13th Gen Core i7 DOS
Dell Inspiron 15 3530 13th Gen Core i5 1334u,143999.0,200000.0,28,0,0,Dell,Core i5,512GB,Inspiron 15 3530 13th Gen Core i5 1334u
LENOVO LOQ 15 15IRX9 Core i5 13th Gen,261999.0,275000.0,5,0,0,Lenovo,Core i5,512GB,LOQ 15 15IRX9 Core i5 13th Gen
Apple MacBook Air MRXW3 M3 Chip,352999.0,400000.0,12,0,0,Apple,M3,256GB,MacBook Air MRXW3 M3 Chip
Infinix GTBOOK 13th Generation Core i9 13900H 1TB-32GB,422500.0,442999.0,5,0,0,Infinix,Core i9,1TB,GTBOOK 13th Generation Core i9 13900H 1TB-32GB
Dell Inspiron 16 5640 Intel Core 7-150U (16GB-1TB SSD),235999.0,264999.0,11,0,0,Dell,Core 7,1TB,Inspiron 16 5640 Intel Core 7-150U
Lenovo Thinkbook 14 G7 14th Gen Core Ultra 5 125U (8GB DDR5 512GB SSD),195999.0,199999.0,2,0,0,Lenovo,Ultra 5,512GB,Thinkbook 14 G7 14th Gen Core Ultra 5 125U
Lenovo Thinkbook 14 G7 14TH GEN Core Ultra 7 155H (8GB-512GB SSD),235999.0,239999.0,2,0,0,Lenovo,Ultra 7,512GB,Thinkbook 14 G7 14TH GEN Core Ultra 7 155H
Lenovo ThinkPad E14 G6 Intel Core Ultra 5 125U (8GB-512GB SSD),242999.0,250000.0,3,0,0,Lenovo,Ultra 5,512GB,ThinkPad E14 G6 Intel Core Ultra 5 125U
Acer Nitro V15 13th Gen Core i9 13900H (16GB-512GB SSD),312999.0,325000.0,4,0,0,Acer,Core i9,512GB,Nitro V15 13th Gen Core i9 13900H
Apple Macbook Pro M3 A2918 (8GB-512GB SSD),494999.0,600000.0,18,0,0,Apple,M3,512GB,Macbook Pro M3 A2918
Lenovo IdeaPad Slim 3 Ryzen 3 7320U DOS (8GB-256GB SSD),99999.0,114999.0,13,5,2,Lenovo,Ryzen 3,256GB,IdeaPad Slim 3 Ryzen 3 7320U DOS
Lenovo IdeaPad Slim 5 Core i7 13620H DOS (16GB-512GB SSD),209999.0,229999.0,9,0,0,Lenovo,Core i7,512GB,IdeaPad Slim 5 Core i7 13620H DOS
ASUS ExpertBook B1502CV 13th Gen Core i5 1355U (8GB-512GB SSD),151999.0,179999.0,16,0,0,Asus,Core i5,512GB,ExpertBook B1502CV 13th Gen Core i5 1355U
Lenovo Yoga 9 Intel Core Ultra 7 (16GB-1TB SSD),396999.0,449999.0,12,0,0,Lenovo,Ultra 7,1TB,Yoga 9 Intel Core Ultra 7
Lenovo Legion Pro 7 Ultra 9 275HX (64GB-2TB SSD) RTX 5080 16GB 240Hz,1451999.0,1499900.0,3,0,0,Lenovo,Ultra 9,2TB,Legion Pro 7 Ultra 9 275HX  RTX 5080 16GB 240Hz
Lenovo Legion Pro 7 Ultra 9 275HX (64GB-2TB SSD) RTX 5090 24GB 240Hz,1552999.0,1599900.0,3,0,0,Lenovo,Ultra 9,2TB,Legion Pro 7 Ultra 9 275HX  RTX 5090 24GB 240Hz
HP Victus 15-FB3093DX AMD Ryzen 7-7445H (16GB-512GB SSD) RTX 4050 6GB,247999.0,285000.0,13,0,0,Hp,Ryzen 7,512GB,Victus 15-FB3093DX AMD Ryzen 7-7445H  RTX 4050 6GB
HP Victus 16-R0042NE Ci7-13700H (16GB-1TB SSD) RTX™ 4060 8GB,327999.0,375000.0,13,0,0,Hp,Core i7,1TB,Victus 16-R0042NE Ci7-13700H  RTX™ 4060 8GB
Dell 15 DC15250 Ci5-1334U (8GB-512GB SSD),147999.0,200000.0,26,0,0,Dell,Core i5,512GB,15 DC15250 Ci5-1334U
Apple MacBook Air MC6T4 M4 Chip,286999.0,299999.0,4,0,0,Apple,M4,256GB,MacBook Air MC6T4 M4 Chip
Lenovo LOQ 15 Ryzen 5 7235HS (12GB-512GB SSD) RTX 4050 6GB,226999.0,255000.0,11,0,0,Lenovo,Ryzen 5,512GB,LOQ 15 Ryzen 5 7235HS  RTX 4050 6GB
Lenovo V15 G3 15. 6 Inches 12th Gen Core i3 DOS (4GB - 256GB SSD),125499.0,149999.0,16,0,0,Lenovo,Core i3,256GB,V15 G3 15. 6 Inches 12th Gen Core i3 DOS
Lenovo ThinkPad E14 G4 14 Inches 12th Gen Core i5 DOS (8GB - 512GB),229999.0,260000.0,12,0,0,Lenovo,Core i5,512GB,ThinkPad E14 G4 14 Inches 12th Gen Core i5 DOS
Lenovo V15 G3 15.6 Inches 12th Gen Core i7 DOS (8GB - 512GB),181999.0,249999.0,27,0,0,Lenovo,Core i7,512GB,V15 G3 15.6 Inches 12th Gen Core i7 DOS
Lenovo V15 G3 15.6 Inches 12th Gen Core i5 DOS (4GB - 256GB),179999.0,199999.0,10,0,0,Lenovo,Core i5,256GB,V15 G3 15.6 Inches 12th Gen Core i5 DOS
HP ProBook 440 G10 Core i7 (8GB-512GB NVMe SSD),220999.0,260000.0,15,0,0,Hp,Core i7,512GB,ProBook 440 G10 Core i7
Apple Macbook Pro MRX33 M3 Pro 14.2 (18GB-512GB),544999.0,600000.0,9,5,3,Apple,M3,512GB,Macbook Pro MRX33 M3 Pro 14.2
Apple MacBook Pro 14.2” MTL83 (8GB-1TB),494999.0,515000.0,4,0,0,Apple,M3,1TB,MacBook Pro 14.2” MTL83
Apple Macbook Pro 14 MTL73 (8GB-512GB),452999.0,500000.0,9,0,0,Apple,M3,512GB,Macbook Pro 14 MTL73
HP 250 G10 Raptor Lake 13th Gen Core i7 (8GB-512GB),187999.0,209999.0,10,5,1,Hp,Core i7,512GB,250 G10 Raptor Lake 13th Gen Core i7
HP Pavilion x360 14 EK1056TU  Core i7 (16GB-1TB),261999.0,330000.0,21,0,0,Hp,Core i7,1TB,Pavilion x360 14 EK1056TU  Core i7
Lenovo V15 G4 Core i3 13th Gen,110999.0,200000.0,45,0,0,Lenovo,Core i3,512GB,V15 G4 Core i3 13th Gen
LENOVO THINBOOK 16 13TH CI5 8GB/256GB 16INCH,166000.0,200000.0,17,0,0,Lenovo,Core i5,256GB,THINBOOK 16 13TH CI5 8GB/256GB 16INCH
Lenovo V15 G4 Core i7 13th Gen (8GB-512GB),184999.0,250000.0,26,0,0,Lenovo,Core i7,512GB,V15 G4 Core i7 13th Gen
HP 250 G10 13th Gen Core i3 DOS,107499.0,120000.0,10,5,1,Hp,Core i3,512GB,250 G10 13th Gen Core i3 DOS
HP VICTUS 15-FA2701WM Ci5-13420H (16GB -512GB) RTX-4050-6GB,234999.0,300000.0,22,0,0,Hp,Core i5,512GB,VICTUS 15-FA2701WM Ci5-13420H  RTX-4050-6GB
HP ProBook 460 G11 Ultra 7 155U,229999.0,300000.0,23,0,0,Hp,Ultra 7,512GB,ProBook 460 G11 Ultra 7 155U
HP ProBook 460 G11 Intel Core Ultra 5 125U (8GB-512GB),194999.0,280000.0,30,0,0,Hp,Ultra 5,512GB,ProBook 460 G11 Intel Core Ultra 5 125U
HP EliteBook 640 G11 14 Ultra 7 155U (8GB-512GB),293999.0,370000.0,21,0,0,Hp,Ultra 7,512GB,EliteBook 640 G11 14 Ultra 7 155U
HP Elitebook 660 G11 U7 | Intel® Core™ Ultra 7 155U (8GB-512GB),302999.0,370000.0,18,0,0,Hp,Ultra 7,512GB,Elitebook 660 G11 U7 | Intel® Core™ Ultra 7 155U
LENOVO LEGION PRO 5 Ci7-14650HX (16GB-1TB) RTX-4060-8GB,469999.0,495000.0,5,0,0,Lenovo,Core i7,1TB,LEGION PRO 5 Ci7-14650HX  RTX-4060-8GB
HP 250 G9 12th Gen Core i7 DOS,174999.0,200000.0,13,0,0,Hp,Core i7,512GB,250 G9 12th Gen Core i7 DOS
HP 15-FD0229NIA Ci7-1355U (8GB-512GB SSD) 15.6 FHD,177999.0,200000.0,11,0,0,Hp,Core i7,512GB,15-FD0229NIA Ci7-1355U  15.6 FHD
HP Elitebook 650 G10 13th Gen Core I5 1335U,242999.0,300000.0,19,0,0,Hp,Core i5,512GB,Elitebook 650 G10 13th Gen Core I5 1335U
ASUS EXPERTBOOK B1403CVA Ci7-1355U (16GB -512GB SSD),181999.0,230000.0,21,0,0,Asus,Core i7,512GB,EXPERTBOOK B1403CVA Ci7-1355U
HP Elitebook 660 G11 Ultra 5 125U,252999.0,275000.0,8,0,0,Hp,Ultra 5,512GB,Elitebook 660 G11 Ultra 5 125U
Apple MacBook Air MXCV3 M3 8-Core Chip,412999.0,450000.0,8,0,0,Apple,M3,512GB,MacBook Air MXCV3 M3 8-Core Chip
Acer Nitro V15 - Ci5-13420H (16GB-512GB) RTX 4050 6GB,247999.0,275000.0,10,0,0,Acer,Core i5,512GB,Nitro V15 - Ci5-13420H  RTX 4050 6GB
Acer Nitro V16 14th Gen Core i7 14650HX (16GB-512GB SSD),349999.0,415999.0,16,0,0,Acer,Core i7,512GB,Nitro V16 14th Gen Core i7 14650HX
Dell Latitude 5440 13TH GEN CORE i7 1355U (8GB-512GB SSD),344999.0,370000.0,7,0,0,Dell,Core i7,512GB,Latitude 5440 13TH GEN CORE i7 1355U
LENOVO THINKPAD E14 G6 14TH Intel Core Ultra 7 155H (16GB-512GB SSD),283999.0,299999.0,5,0,0,Lenovo,Ultra 7,512GB,THINKPAD E14 G6 14TH Intel Core Ultra 7 155H
LENOVO THINKPAD T14 14TH GEN Intel Core Ultra 7 155U (16GB-512GB SSD),400999.0,420000.0,5,0,0,Lenovo,Ultra 7,512GB,THINKPAD T14 14TH GEN Intel Core Ultra 7 155U
LENOVO THINKPAD T14 14TH GEN Intel Core Ultra 7 155U (32GB-512GB SSD),430999.0,450000.0,4,0,0,Lenovo,Ultra 7,512GB,THINKPAD T14 14TH GEN Intel Core Ultra 7 155U
HP OMNIBOOK 14 FP0013DX Core 5 120U (8GB-512GB),167999.0,220000.0,24,0,0,Hp,Core 5,512GB,OMNIBOOK 14 FP0013DX Core 5 120U
Lenovo loq 15 13th Core i5 13450hx (24GB-512GB) DOS,266999.0,285000.0,6,0,0,Lenovo,Core i5,512GB,loq 15 13th Core i5 13450hx  DOS
Apple MacBook Air 15 MW1K3 M4 Chip,450999.0,460000.0,2,0,0,Apple,M4,512GB,MacBook Air 15 MW1K3 M4 Chip
Dell Latitude 3550 Raptor Lake 13th Gen Core i5 1335U (8GB-512GB SSD),184999.0,219999.0,16,0,0,Dell,Core i5,512GB,Latitude 3550 Raptor Lake 13th Gen Core i5 1335U
LENOVO LOQ 15 Ci5 13450HX,261999.0,310000.0,15,0,0,Lenovo,Core i5,512GB,LOQ 15 Ci5 13450HX
HP OmniBook Ultra Flip 14-FH0030CA Core Ultra 7 256V (16GB 1TB SSD),416999.0,450000.0,7,0,0,Hp,Ultra 7,1TB,OmniBook Ultra Flip 14-FH0030CA Core Ultra 7 256V
Lenovo ThinkPad X1 Carbon G13 Ultra 7 256V (32GB-512GB SSD),659999.0,726000.0,9,0,0,Lenovo,Ultra 7,512GB,ThinkPad X1 Carbon G13 Ultra 7 256V
HP VICTUS 15-FA2013DX Ci5-13420H (8GB 512GB SSD) RTX 3050 6GB,195999.0,249900.0,22,0,0,Hp,Core i5,512GB,VICTUS 15-FA2013DX Ci5-13420H  RTX 3050 6GB
HP VICTUS 15-FA2701WM Ci5-13420H (16GB-512GB SSD) RTX 4050 6GB,233999.0,275999.0,15,0,0,Hp,Core i5,512GB,VICTUS 15-FA2701WM Ci5-13420H  RTX 4050 6GB
ACER PREDATOR HELIOS 16 AI Core Ultra 9 275HX (32GB-1TB SSD) RTX 5070Ti 12GB,684999.0,724000.0,5,0,0,Acer,Ultra 9,1TB,PREDATOR HELIOS 16 AI Core Ultra 9 275HX  RTX 5070Ti 12GB
ASUS EXPERTBOOK B1403CVA Ci5 1334U (16GB-512GB SSD),153999.0,200000.0,23,0,0,Asus,Core i5,512GB,EXPERTBOOK B1403CVA Ci5 1334U
Lenovo ThinkPad E14 G8 U7-255H (16GB-512GB SSD),289999.0,350000.0,17,0,0,Lenovo,Ultra 7,512GB,ThinkPad E14 G8 U7-255H
Lenovo ThinkPad E16 G3 Ultra 5 225U (8GB-512GB SSD),224999.0,300000.0,25,0,0,Lenovo,Ultra 5,512GB,ThinkPad E16 G3 Ultra 5 225U
Dell Alienware Aurora 16 Core 7 240H (16GB-512GB SSD) RTX 5050 8GB,349999.0,400000.0,13,0,0,Dell,Core 7,512GB,Alienware Aurora 16 Core 7 240H  RTX 5050 8GB
Dell Latitude 3550 Ultra 5-125U (8GB-512GB SSD),197999.0,250000.0,21,0,0,Dell,Ultra 5,512GB,Latitude 3550 Ultra 5-125U
Asus VivoBook 16 M1605YA Ryzen 7-7730U (8GB-512GB SSD),179999.0,215000.0,16,0,0,Asus,M1,512GB,VivoBook 16 M1605YA Ryzen 7-7730U
Dell Alienware 16 Aurora Core 7-240H (32GB-1TB SSD) RTX 5060 8GB,440999.0,480000.0,8,0,0,Dell,Core 7,1TB,Alienware 16 Aurora Core 7-240H  RTX 5060 8GB
HP OmniBook 5 16-AF1067ST Ultra 7-255U (16GB-1TB SSD),239999.0,280000.0,14,0,0,Hp,Ultra 7,1TB,OmniBook 5 16-AF1067ST Ultra 7-255U
HP Victus 15-FA2317TX Ci7-13620H (16GB-512GB SSD) RTX 4050 6GB,301999.0,350000.0,14,0,0,Hp,Core i7,512GB,Victus 15-FA2317TX Ci7-13620H  RTX 4050 6GB
Apple Macbook Air 13 MW0Y3 M4,286999.0,299999.0,4,0,0,Apple,M4,256GB,Macbook Air 13 MW0Y3 M4
Dell Inspiron 3515 15.6 inches AMD Ryzen 5 3450U (8GB - 256GB),134499.0,145000.0,7,0,0,Dell,Ryzen 5,256GB,Inspiron 3515 15.6 inches AMD Ryzen 5 3450U
Infinix INBook X2 1065G7 14 Inches Core i7 (8GB RAM - 512GB SSD),119999.0,169999.0,29,5,4,Infinix,Core i7,512GB,INBook X2 1065G7 14 Inches Core i7
Apple MacBook Pro A2289 13 Inches Core i5 (8GB-512GB),242999.0,380000.0,36,0,0,Apple,Core i5,512GB,MacBook Pro A2289 13 Inches Core i5
HP 15s FQ5098TU 15.6 Inches 12th Gen Core i5 Win 11 (8GB - 512GB),145999.0,174999.0,17,0,0,Hp,Core i5,512GB,15s FQ5098TU 15.6 Inches 12th Gen Core i5 Win 11
Dell Inspiron 3520 Core i7 12th Gen (8GB-512GBSSD),187499.0,230000.0,18,0,0,Dell,Core i7,512GB,Inspiron 3520 Core i7 12th Gen
Apple MacBook Air 15.3 M2 MQKX3 (8GB-512GB),406999.0,420000.0,3,0,0,Apple,M2,512GB,MacBook Air 15.3 M2 MQKX3
HP 15 FD0336nia 13th Gen Core i3 (4GB-256GB),107999.0,125000.0,14,0,0,Hp,Core i3,256GB,15 FD0336nia 13th Gen Core i3
Lenovo IdeaPad 5 Core i7 12th Gen (16GB-512GB),205999.0,238000.0,13,0,0,Lenovo,Core i7,512GB,IdeaPad 5 Core i7 12th Gen
HP VICTUS 16-R0003NIA Ci7-13700H (32GB -1TB SSD) RTX 4060 8GB,349999.0,400000.0,13,0,0,Hp,Core i7,1TB,VICTUS 16-R0003NIA Ci7-13700H  RTX 4060 8GB
ASUS ExpertBook B1 502CB 12th Ci5 235U,147999.0,170000.0,13,0,0,Asus,Core i5,512GB,ExpertBook B1 502CB 12th Ci5 235U
Apple MacBook Air 15 Inches With M3 Chip (MRYV3),399999.0,449999.0,11,0,0,Apple,M3,512GB,MacBook Air 15 Inches With M3 Chip
Dell Vostro 3530 Ci3-1305U (8GB-512GB SSD),111999.0,143000.0,22,0,0,Dell,Core i3,512GB,Vostro 3530 Ci3-1305U
Apple Macbook Air 15 MC7C4 M4 Chip,489999.0,499999.0,2,0,0,Apple,M4,512GB,Macbook Air 15 MC7C4 M4 Chip
Acer Nitro V15 13th Gen Core i7-13620H (16GB-512GB SSD) RTX 4060 8GB Graphics,295999.0,305000.0,3,0,0,Acer,Core i7,512GB,Nitro V15 13th Gen Core i7-13620H  RTX 4060 8GB Graphics
Acer Nitro V16 AMD RYZEN 7 8845HS (16GB-512GB SSD),300999.0,330000.0,9,0,0,Acer,Ryzen 7,512GB,Nitro V16 AMD RYZEN 7 8845HS
HP OmniBook 5 16-AF1095CL Core Ultra 9 285H (32GB 1TB),346999.0,370000.0,6,0,0,Hp,Ultra 9,1TB,OmniBook 5 16-AF1095CL Core Ultra 9 285H
HP EliteBook 840 G11 Ultra 7-155U vPro (16GB-512GB SSD),344999.0,380000.0,9,0,0,Hp,Ultra 7,512GB,EliteBook 840 G11 Ultra 7-155U vPro
Dell 15 DC15250 Core 3-100U (8GB-512GB SSD),147999.0,165000.0,10,0,0,Dell,Core 3,512GB,15 DC15250 Core 3-100U
HP Pavilion 15 EH2033au 15.6 Inches AMD Ryzen 7 5825U Win 11 (16GB - 1TB),200999.0,249999.0,20,0,0,Hp,Ryzen 7,1TB,Pavilion 15 EH2033au 15.6 Inches AMD Ryzen 7 5825U Win 11
HP Pavilion 15 EH2032au 15.6 Inches AMD Ryzen 5 5625U Win 11 (16GB - 512GB),156999.0,199999.0,22,0,0,Hp,Ryzen 5,512GB,Pavilion 15 EH2032au 15.6 Inches AMD Ryzen 5 5625U Win 11
HP 15s FD0107TU 15.6 Inches 13th Gen Core i5 1335u Win 11 (8GB - 512GB),159999.0,219999.0,27,3,1,Hp,Core i5,512GB,15s FD0107TU 15.6 Inches 13th Gen Core i5 1335u Win 11
"HP 15-DY5131WM Laptop 12thGen Core i3 (8GB RAM, 256GB SSD)",109999.0,135000.0,19,4,1,Hp,Core i3,256GB,15-DY5131WM Laptop 12thGen Core i3
HP Envy 14-ES0013DX 13th Gen Core i5-1335U (8GB DDR4-512GB SSD),169999.0,220000.0,23,0,0,Hp,Core i5,512GB,Envy 14-ES0013DX 13th Gen Core i5-1335U
Dell Vostro 3520 12th Gen Core i3 15.6 inches (8GB-512GB),100999.0,125000.0,19,0,0,Dell,Core i3,512GB,Vostro 3520 12th Gen Core i3 15.6 inches
HP 15 FD0240TU 13th Gen Core i5 1334u (8GB-512GB),150999.0,185000.0,18,0,0,Hp,Core i5,512GB,15 FD0240TU 13th Gen Core i5 1334u
HP Envy 16 AC0013DX Ultra 5 125U,210999.0,250000.0,16,0,0,Hp,Ultra 5,512GB,Envy 16 AC0013DX Ultra 5 125U
ASUS ZenBook 14 Q415MA Core Ultra 5 125H,191999.0,250000.0,23,0,0,Asus,Ultra 5,512GB,ZenBook 14 Q415MA Core Ultra 5 125H
Dell Inspiron 16 5640 Core i5-1334U (16GB-512GB SSD),197999.0,209999.0,6,0,0,Dell,Core i5,512GB,Inspiron 16 5640 Core i5-1334U
LENOVO LOQ 15 Ci5 12450HX,241999.0,279999.0,14,0,0,Lenovo,Core i5,512GB,LOQ 15 Ci5 12450HX
Infinix INBook X2 1035G1 14 Inches Core i5 (8GB RAM - 512GB SSD),110999.0,159999.0,31,5,2,Infinix,Core i5,512GB,INBook X2 1035G1 14 Inches Core i5
HP 15s FQ5096TU 15.6 Inches 12th Gen Core i3 Win 11 (4GB - 256GB),128999.0,152000.0,15,0,0,Hp,Core i3,256GB,15s FQ5096TU 15.6 Inches 12th Gen Core i3 Win 11
HP 15S-FQ5317TU Laptop 12th Gen Core i5 (8GB-512GB),150999.0,180000.0,16,5,1,Hp,Core i5,512GB,15S-FQ5317TU Laptop 12th Gen Core i5
HP 15S-FQ5299NIA Laptop 12th Gen Core i7 (8GB-512GB SSD),177999.0,220000.0,19,0,0,Hp,Core i7,512GB,15S-FQ5299NIA Laptop 12th Gen Core i7
HP 15s EQ2174AU AMD Ryzen 5 5500U (8GB 512GB),115999.0,126000.0,8,5,1,Hp,Ryzen 5,512GB,15s EQ2174AU AMD Ryzen 5 5500U
Dell Vostro 3520 12th Gen Core i5 15.6 inches (8GB-512GB),129599.0,150000.0,14,0,0,Dell,Core i5,512GB,Vostro 3520 12th Gen Core i5 15.6 inches
HP Victus 15-FA0212TX Gaming Laptop 12th Gen Core i7-12650H (16GB-512GB),285999.0,320000.0,11,0,0,Hp,Core i7,512GB,Victus 15-FA0212TX Gaming Laptop 12th Gen Core i7-12650H
HP 15S-EQ2315AU Laptop AMD Ryzen 7-5700U 8GB-512GB,151999.0,210000.0,28,0,0,Hp,Ryzen 7,512GB,15S-EQ2315AU Laptop AMD Ryzen 7-5700U 8GB-512GB
HP VICTUS 15-FB2082WM R5-8645HS (8GB-512GB SSD) RTX-4050-6GB,231999.0,292000.0,21,0,0,Hp,Ryzen 5,512GB,VICTUS 15-FB2082WM R5-8645HS  RTX-4050-6GB
HP Spectre x360 14-EF2051TU 13th Gen 1355U,401999.0,425000.0,5,0,0,Hp,Core i7,512GB,Spectre x360 14-EF2051TU 13th Gen 1355U
Acer Predator Helios Neo PH16-72-903U Intel Core i9-14900HX (32GB-1TB SSD),480999.0,499999.0,4,0,0,Acer,Core i9,1TB,Predator Helios Neo PH16-72-903U Intel Core i9-14900HX
HP Victus 15-FB2146AX R7-8845HS (16GB-512GB SSD) RTX 4060 8GB,296999.0,335000.0,11,0,0,Hp,Ryzen 7,512GB,Victus 15-FB2146AX R7-8845HS  RTX 4060 8GB
Infinix INBook Y1 Plus Laptop Core i3 (8GB-256GB SSD) International,85999.0,111999.0,23,4,4,Infinix,Core i3,256GB,INBook Y1 Plus Laptop Core i3  International
HP Laptop 15S FQ5276NIA i3 12th Gen (4GB-256GB),107999.0,125000.0,14,0,0,Hp,Core i3,256GB,Laptop 15S FQ5276NIA i3 12th Gen
DELL Vostro 15 3520 Laptop 12th Gen Core i3,101999.0,139999.0,27,4,1,Dell,Core i3,512GB,Vostro 15 3520 Laptop 12th Gen Core i3
HP 15S-FQ5340TU Core i3 12th Gen (8GB-256GB),106999.0,120000.0,11,0,0,Hp,Core i3,256GB,15S-FQ5340TU Core i3 12th Gen
HP 15-FB1000CA Ryzen 5 15.6 inches (16GB-1TB),206999.0,220000.0,6,0,0,Hp,Ryzen 5,1TB,15-FB1000CA Ryzen 5 15.6 inches
HP 15s EQ2174AU 15.6 Inches Ryzen 5 (8GB-512GB),116999.0,150000.0,22,0,0,Hp,Ryzen 5,512GB,15s EQ2174AU 15.6 Inches Ryzen 5
HP Envy 16-H1053DX 13th Gen Core i7-13700H (16GB-1TB),360999.0,400000.0,10,0,0,Hp,Core i7,1TB,Envy 16-H1053DX 13th Gen Core i7-13700H
HP Envy x360 2 in 1 14 FC0023DX Core Ultra 7 Laptop,230999.0,300000.0,23,0,0,Hp,Ultra 7,512GB,Envy x360 2 in 1 14 FC0023DX Core Ultra 7 Laptop
Asus Zenbook 14 Q425MA Core Ultra 7 155H,265999.0,300000.0,11,0,0,Asus,Ultra 7,512GB,Zenbook 14 Q425MA Core Ultra 7 155H
Apple MacBook Air 15 Inches With M3 Chip (MXD43),395999.0,449999.0,12,0,0,Apple,M3,512GB,MacBook Air 15 Inches With M3 Chip
Acer Predator Helios Neo PHN14-51-97X1 Intel Core Ultra 9-185H (32GB-1TB SSD),430999.0,550000.0,22,0,0,Acer,Ultra 9,1TB,Predator Helios Neo PHN14-51-97X1 Intel Core Ultra 9-185H
Lenovo IdeaPad Slim 5 Core i5 13420H DOS (16GB-512GB SSD),176999.0,199999.0,12,0,0,Lenovo,Core i5,512GB,IdeaPad Slim 5 Core i5 13420H DOS
HP 15s FQ5099TU 15.6 Inches 12th Gen Core i7 Win 11 (8GB - 512GB),173999.0,199999.0,13,0,0,Hp,Core i7,512GB,15s FQ5099TU 15.6 Inches 12th Gen Core i7 Win 11
Lenovo Ideapad 5 15.6 Inches 11th Gen Core i5 DOS (8GB - 512GB),144599.0,174999.0,17,5,1,Lenovo,Core i5,512GB,Ideapad 5 15.6 Inches 11th Gen Core i5 DOS
Lenovo Ideapad 3 15.6 Inches 11th Gen Core i7 DOS (8GB - 1TB),155999.0,184999.0,16,0,0,Lenovo,Core i7,1TB,Ideapad 3 15.6 Inches 11th Gen Core i7 DOS
HP 250 G9 15.6 Inches 12th Gen core i5 DOS (8GB - 512GB),152999.0,189999.0,19,0,0,Hp,Core i5,512GB,250 G9 15.6 Inches 12th Gen core i5 DOS
DELL Vostro 15 3520 Laptop 12th Gen Core i5,134999.0,170000.0,21,0,0,Dell,Core i5,512GB,Vostro 15 3520 Laptop 12th Gen Core i5
ASUS Expertbook B1402CVA 13th Gen Core i7 (16GB-512GB),156999.0,200000.0,22,0,0,Asus,Core i7,512GB,Expertbook B1402CVA 13th Gen Core i7
Apple MACBOOK AIR 13” M3 CHIP MRXV3 8-256,288999.0,400000.0,28,5,1,Apple,M3,256GB,MACBOOK AIR 13” M3 CHIP MRXV3 8-256
HP Pavilion 15 EH3050au - AMD Ryzen 7 7730U Octa Core (16GB-1TB),198499.0,245000.0,19,0,0,Hp,Ryzen 7,1TB,Pavilion 15 EH3050au - AMD Ryzen 7 7730U Octa Core
HP Envy 2 in 1 16 AC0023dx Intel Core Ultra 7 155U Processor (16GB-1tb),251999.0,299000.0,16,0,0,Hp,Ultra 7,1TB,Envy 2 in 1 16 AC0023dx Intel Core Ultra 7 155U Processor
HP 15s FD0110TU - Raptor Lake - 13th Gen Core i7 (16GB-512GB),222999.0,270000.0,17,0,0,Hp,Core i7,512GB,15s FD0110TU - Raptor Lake - 13th Gen Core i7
Lenovo ThinkPad E14 Gen 4 Ryzen 5 DOS,141999.0,180000.0,21,0,0,Lenovo,Ryzen 5,512GB,ThinkPad E14 Gen 4 Ryzen 5 DOS
Apple MacBook Air MRXN3 M3 8-Core Chip,288999.0,300000.0,4,0,0,Apple,M3,512GB,MacBook Air MRXN3 M3 8-Core Chip
Dell Inspiron 15 3530 13th Gen Core i7 1355U (16GB-512GB SSD),189999.0,219999.0,14,0,0,Dell,Core i7,512GB,Inspiron 15 3530 13th Gen Core i7 1355U
Dell Inspiron 3535 AMD Ryzen 7-7730U (16GB-512GB SSD),134499.0,142999.0,6,0,0,Dell,Ryzen 7,512GB,Inspiron 3535 AMD Ryzen 7-7730U
Acer Predator Helios Neo PH16-72-99PA Intel Core i9-14900HX (32GB-1TB SSD),430999.0,449999.0,4,0,0,Acer,Core i9,1TB,Predator Helios Neo PH16-72-99PA Intel Core i9-14900HX
Acer Predator Helios Neo PH16-72-97T1 Intel Core i9-14900HX (32GB-1TB SSD),781999.0,950000.0,18,0,0,Acer,Core i9,1TB,Predator Helios Neo PH16-72-97T1 Intel Core i9-14900HX
ASUS ROG Zephyrus G14 GA403UM Ryzen 9-270 (16GB-1TB SSD) RTX 5060 8GB,499999.0,550000.0,9,0,0,Asus,Ryzen 9,1TB,ROG Zephyrus G14 GA403UM Ryzen 9-270  RTX 5060 8GB
