Name,Discounted Price,Actual Price,Saving(%),Rating,Reviews,Brand,Core,SSD,Model
HP OmniBook X Flip 14-FM0023DX Core Ultra 7 256V (16GB-1TB SSD),259999.0,290000.0,10,0,0,Hp,Ultra 7,1TB,OmniBook X Flip 14-FM0023DX Core Ultra 7 256V
ASUS TUF GAMING F15-FX507VU Ci7-13620H (16GB-512GB SSD) RTX 4050 6GB,319999.0,365000.0,12,0,0,Asus,Core i7,512GB,TUF GAMING F15-FX507VU Ci7-13620H  RTX 4050 6GB
Lenovo Legion Pro 7 Ultra 9-275HX (32GB-2TB SSD) RTX 5070Ti 12GB 240Hz,992999.0,1040000.0,5,0,0,Lenovo,Ultra 9,2TB,Legion Pro 7 Ultra 9-275HX  RTX 5070Ti 12GB 240Hz
ASUS TUF F16 FX608JMR Ci7 14650HX (32GB-1TB SSD) RTX 5060 8GB,444999.0,475000.0,6,0,0,Asus,Core i7,1TB,TUF F16 FX608JMR Ci7 14650HX  RTX 5060 8GB
Lenovo ThinkBook 16 G7 Ryzen 5-7533HS (16GB-512GB SSD),167999.0,200000.0,16,0,0,Lenovo,Ryzen 5,512GB,ThinkBook 16 G7 Ryzen 5-7533HS
Lenovo Legion 5 16IAX10 Core Ultra 9-275HX (32GB-1TB SSD) RTX 5060 8GB,493999.0,550000.0,10,0,0,Lenovo,Ultra 9,1TB,Legion 5 16IAX10 Core Ultra 9-275HX  RTX 5060 8GB
HP 15-FD0647TU Ci5-1334U (8GB-512GB SSD),145999.0,200000.0,27,0,0,Hp,Core i5,512GB,15-FD0647TU Ci5-1334U
HP OMNIBOOK ULTRA FLIP 14-FH0033DX ULTRA 9-288V (32GB-2TB SSD),504999.0,545000.0,7,0,0,Hp,Ultra 9,2TB,OMNIBOOK ULTRA FLIP 14-FH0033DX ULTRA 9-288V
HP Laptop EQ2180AU 15.6 Inches AMD Ryzen 5 (8GB RAM - 512GBSSD),194999.0,219999.0,11,0,0,Hp,Ryzen 5,512GB,Laptop EQ2180AU 15.6 Inches AMD Ryzen 5
Lenovo ThinkPad E15 G4 15.6 Inches 12th Gen Core i7 Backlit Keyboard DOS (8GB - 512GB),242999.0,299999.0,19,0,0,Lenovo,Core i7,512GB,ThinkPad E15 G4 15.6 Inches 12th Gen Core i7 Backlit Keyboard DOS
HP Probook 450 G9 15.6 Inches 12th Gen Core i7 DOS (8GB - 512GB) Local,194999.0,299999.0,35,5,1,Hp,Core i7,512GB,Probook 450 G9 15.6 Inches 12th Gen Core i7 DOS  Local
HP Pavilion X360 14 EK1055TU 14 Inches 13th Gen Core i5 Win 11 Home (8GB - 512GB),199999.0,299999.0,33,0,0,Hp,Core i5,512GB,Pavilion X360 14 EK1055TU 14 Inches 13th Gen Core i5 Win 11 Home
HP Pavilion 15 EG3002TX 15.6 Inches 13th Gen Core i5 Win 11 (8GB - 512GB),258999.0,324999.0,20,0,0,Hp,Core i5,512GB,Pavilion 15 EG3002TX 15.6 Inches 13th Gen Core i5 Win 11
HP Envy 16 H1008TX 16 Inches 13th Gen Core i5 Win 11 (16GB - 512GB),409999.0,449999.0,9,0,0,Hp,Core i5,512GB,Envy 16 H1008TX 16 Inches 13th Gen Core i5 Win 11
Apple Macbook Pro MRX33 M3 Pro 14 (18GB-512GB) Black,554999.0,600000.0,8,0,0,Apple,M3,512GB,Macbook Pro MRX33 M3 Pro 14  Black
Apple MACBOOK AIR 13.6” M2 CHIP MLY43 8-512GB,354999.0,400000.0,11,0,0,Apple,M2,512GB,MACBOOK AIR 13.6” M2 CHIP MLY43 8-512GB
Lenovo ThinkBook16 - Ci5-1335U (8GB 512GB),161599.0,225000.0,28,0,0,Lenovo,Core i5,512GB,ThinkBook16 - Ci5-1335U
HP Spectre 14-EU0008NI Ultra 7 (16GB 1TB) Oled Plus HP PEN,464999.0,480000.0,3,0,0,Hp,Ultra 7,1TB,Spectre 14-EU0008NI Ultra 7  Oled Plus HP PEN
